epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,245.281,2.19905,2.6145,0.00565,0.16812,0.25,0.12218,0.03374,2.1578,2.60083,0.00797,0.00183368,0.00183368,0.00183368
44,251.38,2.26052,2.45994,0.00596,0.13157,0.15538,0.1242,0.03306,2.19644,2.45305,0.00805,0.00182972,0.00182972,0.00182972
45,257.439,2.14602,2.50611,0.00591,0.19377,0.21643,0.12039,0.02708,2.25408,2.39364,0.00805,0.00182576,0.00182576,0.00182576
46,263.277,2.17883,2.38628,0.00556,0.15648,0.175,0.13426,0.03551,2.42806,2.45393,0.00892,0.0018218,0.0018218,0.0018218
47,269.789,2.23347,2.40989,0.00557,0.18077,0.175,0.13312,0.03117,2.53323,2.46291,0.0091,0.00181784,0.00181784,0.00181784
48,276.336,2.27913,2.39518,0.0062,0.24712,0.25,0.15695,0.04498,2.40811,2.44699,0.00835,0.00181388,0.00181388,0.00181388
49,282.427,2.07918,2.34275,0.00592,0.21157,0.275,0.16992,0.05746,2.32803,2.37078,0.00822,0.00180992,0.00180992,0.00180992
50,288.872,2.32616,2.39269,0.00561,0.1506,0.25,0.1243,0.02956,2.45856,2.59101,0.00931,0.00180596,0.00180596,0.00180596
51,295.306,2.19692,2.2981,0.00604,0.19642,0.2,0.1158,0.02872,2.47472,2.71861,0.00897,0.001802,0.001802,0.001802
52,302.661,2.27174,2.30891,0.00587,0.19087,0.175,0.12386,0.02735,2.59157,2.73179,0.00894,0.00179804,0.00179804,0.00179804
53,310.012,2.24752,2.30741,0.00582,0.11972,0.1,0.08404,0.02218,2.7723,2.89172,0.01063,0.00179408,0.00179408,0.00179408
54,316.812,2.22478,2.24521,0.0058,0.24133,0.2,0.18062,0.0412,2.29075,2.80764,0.00765,0.00179012,0.00179012,0.00179012
55,323.22,2.35546,2.28078,0.00591,0.27074,0.2,0.19114,0.03913,2.29832,2.66357,0.00799,0.00178616,0.00178616,0.00178616
56,329.64,2.29481,2.28982,0.00562,0.22674,0.2,0.15977,0.03724,2.26662,2.46515,0.00798,0.0017822,0.0017822,0.0017822
57,335.901,2.23487,2.34663,0.00599,0.16515,0.36603,0.11886,0.02636,2.16624,2.52374,0.00749,0.00177824,0.00177824,0.00177824
58,342.689,2.29343,2.28576,0.00583,0.17337,0.225,0.14229,0.03281,2.16849,2.55503,0.00753,0.00177428,0.00177428,0.00177428
59,349.445,2.25454,2.19414,0.00542,0.22893,0.29695,0.17014,0.0388,2.3558,2.51284,0.00856,0.00177032,0.00177032,0.00177032
60,355.748,2.33728,2.15525,0.00574,0.21843,0.275,0.16767,0.03694,2.39654,2.56041,0.0086,0.00176636,0.00176636,0.00176636
61,361.783,2.29653,2.16656,0.00583,0.22777,0.35,0.15049,0.03725,2.39651,2.55469,0.00831,0.0017624,0.0017624,0.0017624
62,368.089,2.20632,2.15039,0.00524,0.26587,0.3,0.19954,0.04141,2.36543,2.42412,0.00843,0.00175844,0.00175844,0.00175844
63,374.523,2.14226,2.26039,0.00548,0.22811,0.35,0.15622,0.03482,2.3831,2.45717,0.00905,0.00175448,0.00175448,0.00175448
64,380.748,2.17562,2.09951,0.00553,0.17884,0.33219,0.15291,0.03044,2.43115,2.45172,0.00933,0.00175052,0.00175052,0.00175052
65,386.957,2.16298,2.02457,0.00545,0.15025,0.3,0.10377,0.02446,2.44997,2.49917,0.00932,0.00174656,0.00174656,0.00174656
66,393.303,2.16549,2.01823,0.00533,0.17361,0.25,0.11905,0.02972,2.3918,2.71736,0.00894,0.0017426,0.0017426,0.0017426
67,399.785,2.24217,2.01061,0.00551,0.22214,0.325,0.1559,0.03612,2.53348,2.61699,0.0093,0.00173864,0.00173864,0.00173864
68,406.583,2.15377,1.99476,0.00534,0.26149,0.35,0.14781,0.03915,2.53338,2.63733,0.00925,0.00173468,0.00173468,0.00173468
69,413.171,2.13547,1.98534,0.00591,0.27466,0.35985,0.16951,0.04319,2.38523,2.59978,0.00865,0.00173072,0.00173072,0.00173072
70,419.648,2.17893,1.96914,0.00569,0.22656,0.275,0.14663,0.03534,2.46968,2.74652,0.009,0.00172676,0.00172676,0.00172676
71,426.427,2.04183,2.06942,0.00544,0.25356,0.225,0.13904,0.0308,2.56827,2.73923,0.00976,0.0017228,0.0017228,0.0017228
72,433.186,2.13545,1.8997,0.00485,0.32066,0.225,0.17738,0.03609,2.47691,2.72517,0.00913,0.00171884,0.00171884,0.00171884
73,439.874,2.23863,2.00633,0.00551,0.27875,0.2,0.18512,0.03759,2.34262,2.65338,0.0083,0.00171488,0.00171488,0.00171488
74,446.145,2.07383,1.94426,0.00562,0.22863,0.325,0.21226,0.05337,2.56302,2.44693,0.00991,0.00171092,0.00171092,0.00171092
75,452.893,2.16219,1.85565,0.00505,0.30411,0.35,0.21908,0.05139,2.62008,2.5321,0.01013,0.00170696,0.00170696,0.00170696
76,459.553,2.15266,2.07173,0.00605,0.24484,0.35,0.18103,0.04497,2.48508,2.51658,0.00944,0.001703,0.001703,0.001703
77,465.799,2.17002,1.96928,0.00528,0.21751,0.325,0.15313,0.04369,2.31329,2.52181,0.0085,0.00169904,0.00169904,0.00169904
78,472.499,2.11419,1.84603,0.00492,0.19877,0.34119,0.14038,0.03587,2.38965,2.55877,0.00836,0.00169508,0.00169508,0.00169508
79,479.055,2.17772,1.82779,0.00471,0.15469,0.25,0.11045,0.02822,2.54016,2.5392,0.00875,0.00169112,0.00169112,0.00169112
80,485.448,2.11243,1.79998,0.00526,0.21315,0.35,0.12513,0.03129,2.46869,2.45252,0.00866,0.00168716,0.00168716,0.00168716
81,491.752,2.21776,1.87534,0.00533,0.20572,0.35,0.14906,0.03572,2.43774,2.5267,0.00854,0.0016832,0.0016832,0.0016832
82,498.168,2.21856,1.86493,0.00544,0.18192,0.225,0.11997,0.02882,2.74813,2.51547,0.01092,0.00167924,0.00167924,0.00167924
83,504.668,2.17695,1.86259,0.00543,0.22296,0.2,0.13815,0.03275,2.60636,2.44113,0.01,0.00167528,0.00167528,0.00167528
84,511.2,2.12526,1.76494,0.00553,0.18698,0.2,0.1283,0.03118,2.67395,2.38275,0.01029,0.00167132,0.00167132,0.00167132
85,517.538,2.065,1.79597,0.00543,0.13622,0.175,0.12537,0.03206,2.74883,2.44134,0.01064,0.00166736,0.00166736,0.00166736
86,524.219,2.13418,1.84216,0.00541,0.20359,0.25,0.14464,0.03961,2.61672,2.67722,0.00983,0.0016634,0.0016634,0.0016634
87,530.736,2.06845,1.80318,0.00528,0.24746,0.2303,0.14591,0.03732,2.36578,3.03977,0.00866,0.00165944,0.00165944,0.00165944
88,537.393,2.01554,1.70846,0.00494,0.21568,0.225,0.14231,0.03454,2.68004,2.94853,0.01041,0.00165548,0.00165548,0.00165548
89,543.802,2.02832,1.75676,0.00531,0.24176,0.2,0.14059,0.03257,2.85099,2.89055,0.01112,0.00165152,0.00165152,0.00165152
90,550.532,2.02162,1.72664,0.00509,0.14464,0.25,0.10916,0.02964,2.56933,2.96153,0.00902,0.00164756,0.00164756,0.00164756
91,557.283,2.10796,1.76488,0.00494,0.12416,0.275,0.09683,0.02933,2.55428,2.90528,0.00915,0.0016436,0.0016436,0.0016436
92,563.61,1.97793,1.7808,0.00526,0.15324,0.275,0.11585,0.03209,2.39906,2.7503,0.00836,0.00163964,0.00163964,0.00163964
93,570.251,2.0596,1.75181,0.00488,0.15345,0.175,0.11037,0.03297,2.39673,2.56361,0.00909,0.00163568,0.00163568,0.00163568
94,576.503,2.07526,1.71288,0.00467,0.24787,0.175,0.12504,0.03354,2.41959,2.49999,0.00889,0.00163172,0.00163172,0.00163172
95,582.918,2.03342,1.68002,0.00502,0.32813,0.2,0.17429,0.04745,2.17838,2.68168,0.00791,0.00162776,0.00162776,0.00162776
96,589.384,2.08009,1.56918,0.00505,0.32079,0.225,0.15202,0.03976,2.40289,2.73101,0.00977,0.0016238,0.0016238,0.0016238
97,595.65,2.02257,1.59936,0.005,0.31196,0.2,0.1481,0.04523,2.5929,2.59232,0.01057,0.00161984,0.00161984,0.00161984
98,602.203,2.02571,1.49826,0.0051,0.24428,0.275,0.1437,0.0458,2.63031,2.69501,0.01011,0.00161588,0.00161588,0.00161588
99,608.393,2.07568,1.63163,0.00492,0.33959,0.275,0.17509,0.05133,2.71797,2.43702,0.01064,0.00161192,0.00161192,0.00161192
100,614.889,2.01087,1.5783,0.00474,0.23116,0.35,0.16412,0.04738,2.35444,2.49678,0.00856,0.00160796,0.00160796,0.00160796
101,621.116,2.0476,1.57317,0.00529,0.27746,0.3,0.16443,0.04017,2.30358,2.37767,0.0083,0.001604,0.001604,0.001604
102,627.742,2.02579,1.49549,0.0048,0.19619,0.2014,0.13147,0.03481,2.42132,2.39442,0.00864,0.00160004,0.00160004,0.00160004
103,634.258,2.0384,1.57235,0.00509,0.20451,0.225,0.13002,0.03642,2.41921,2.4499,0.0086,0.00159608,0.00159608,0.00159608
104,640.662,2.0496,1.44295,0.00471,0.15682,0.15,0.12641,0.03816,2.40719,2.47076,0.00857,0.00159212,0.00159212,0.00159212
105,647.165,1.97413,1.50271,0.00507,0.22514,0.20347,0.15607,0.04194,2.40206,2.49792,0.00878,0.00158816,0.00158816,0.00158816
106,653.551,1.95347,1.46644,0.00512,0.20133,0.35,0.14342,0.03174,2.27612,2.62948,0.00849,0.0015842,0.0015842,0.0015842
107,659.842,2.01699,1.52954,0.00489,0.27036,0.32424,0.14718,0.03385,2.28708,2.71701,0.00839,0.00158024,0.00158024,0.00158024
108,666.425,1.98473,1.44361,0.00463,0.24935,0.35,0.15833,0.03651,2.41619,2.35543,0.00951,0.00157628,0.00157628,0.00157628
109,673.157,1.98076,1.47707,0.00502,0.14983,0.275,0.12631,0.035,2.46735,2.25141,0.00976,0.00157232,0.00157232,0.00157232
110,679.722,2.05761,1.40591,0.00523,0.17217,0.225,0.09645,0.02132,2.72469,2.45436,0.01061,0.00156836,0.00156836,0.00156836
111,686.275,1.9546,1.423,0.00485,0.15538,0.2,0.08645,0.0208,2.63911,2.47641,0.01036,0.0015644,0.0015644,0.0015644
112,692.681,2.07297,1.51156,0.00504,0.17126,0.175,0.07337,0.01781,2.59315,2.48444,0.01021,0.00156044,0.00156044,0.00156044
113,699.128,2.04864,1.36546,0.00507,0.09968,0.1,0.05831,0.01523,2.62843,2.64736,0.01053,0.00155648,0.00155648,0.00155648
114,705.827,1.90158,1.34712,0.0052,0.09991,0.2,0.05924,0.01566,2.55645,3.05381,0.00982,0.00155252,0.00155252,0.00155252
115,712.294,1.92253,1.4221,0.00535,0.09305,0.125,0.06843,0.01949,2.35682,3.44927,0.00929,0.00154856,0.00154856,0.00154856
116,718.561,2.03779,1.43268,0.00507,0.20197,0.175,0.09995,0.02191,2.56985,3.5179,0.01032,0.0015446,0.0015446,0.0015446
117,724.869,1.94035,1.51466,0.00484,0.11918,0.225,0.08296,0.02412,2.60827,3.5225,0.01029,0.00154064,0.00154064,0.00154064
118,731.267,1.94741,1.44031,0.00486,0.24514,0.175,0.12742,0.0245,2.96823,2.74821,0.01218,0.00153668,0.00153668,0.00153668
119,738.054,1.96681,1.44669,0.00481,0.22948,0.15,0.10458,0.02132,2.8638,2.77116,0.01163,0.00153272,0.00153272,0.00153272
120,744.647,1.9396,1.4265,0.00472,0.24546,0.25,0.12629,0.02446,2.82033,2.67319,0.01142,0.00152876,0.00152876,0.00152876
